Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
BIDU,Baidu Inc. ADS,$191.55,-0.78,-0.406%,66564193520.00,China,2005,7421682,Technology,Computer Software: Programming Data Processing
BIIB,Biogen Inc. Common Stock,$274.04,1.93,0.709%,41258023690.00,United States,,936120,Health Care,Major Pharmaceuticals
BILI,Bilibili Inc. American Depositary Shares,$101.67,-2.44,-2.344%,38549750183.00,China,2018,2965540,Technology,EDP Services
BKNG,Booking Holdings Inc. Common Stock,$2327.08,47.73,2.094%,95533180076.00,United States,,381572,Transportation,Other Consumer Services
BLDR,Builders FirstSource Inc. Common Stock,$52.36,0.36,0.692%,10844414951.00,United States,2005,3075020,Consumer Services,RETAIL: Building Materials
BMRN,BioMarin Pharmaceutical Inc. Common Stock,$77.77,-0.84,-1.069%,14211889902.00,United States,1999,628857,Health Care,Major Pharmaceuticals
BNTX,BioNTech SE American Depositary Share,$183.71,15.71,9.351%,44369834851.00,Germany,2019,4456225,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BPY,Brookfield Property Partners L.P. Limited Partnership Units,$18.00,0.09,0.503%,16727796162.00,Bermuda,,4081981,Finance,Finance/Investors Services
BRKR,Bruker Corporation Common Stock,$69.33,1.13,1.657%,10506284839.00,United States,,359317,Capital Goods,Biotechnology: Laboratory Analytical Instruments
BSY,Bentley Systems Incorporated Class B Common Stock,$48.47,0.12,0.248%,13358323518.00,United States,2020,735465,Technology,Retail: Computer Software & Peripheral Equipment
CDNS,Cadence Design Systems Inc. Common Stock,$129.05,2.15,1.694%,35910098250.00,United States,,1613175,Technology,Computer Software: Prepackaged Software
CDW,CDW Corporation Common Stock,$174.87,2.27,1.315%,24573413169.00,United States,2013,784459,Technology,EDP Services
CERN,Cerner Corporation Common Stock,$76.68,1.51,2.009%,23104992774.00,United States,1986,3866417,Health Care,Managed Health Care
CG,The Carlyle Group Inc. Common Stock,$44.98,0.17,0.379%,15948676088.00,United States,2012,2094043,Finance,Investment Managers
CGNX,Cognex Corporation Common Stock,$77.58,-1.31,-1.661%,13701371372.00,United States,1989,1404304,Capital Goods,Industrial Machinery/Components
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,$119.87,-0.16,-0.133%,16217291414.00,Israel,1996,892319,Technology,Computer Software: Prepackaged Software
CHRW,C.H. Robinson Worldwide Inc. Common Stock,$99.51,1.49,1.52%,13233702552.00,United States,1997,897430,Transportation,Oil Refining/Marketing
CHTR,Charter Communications Inc. Class A Common Stock New,$693.44,17.65,2.612%,142085285299.00,United States,,718916,Consumer Services,Television Services
CINF,Cincinnati Financial Corporation Common Stock,$120.35,0.63,0.526%,19387979661.00,United States,,864372,Finance,Property-Casualty Insurers
CMCSA,Comcast Corporation Class A Common Stock,$58.11,1.13,1.983%,266974145121.00,United States,,17847299,Consumer Services,Television Services
CME,CME Group Inc. Class A Common Stock,$202.92,-1.43,-0.70%,72867999766.00,United States,2002,1567060,,
COIN,Coinbase Global Inc. Class A Common Stock,$263.70,6.94,2.703%,52529040000.00,United States,,4237021,Technology,EDP Services
COST,Costco Wholesale Corporation Common Stock,$384.32,1.56,0.408%,170074584251.00,United States,,1817078,Consumer Services,Department/Specialty Retail Stores
COUP,Coupa Software Incorporated Common Stock,$237.84,2.94,1.252%,17457677905.00,United States,2016,920631,Technology,Computer Software: Prepackaged Software
CPRT,Copart Inc. (DE) Common Stock,$124.56,2.02,1.648%,29435641160.00,United States,1994,845269,Miscellaneous,Business Services
CREE,Cree Inc. Common Stock,$95.68,1.53,1.625%,11048243369.00,United States,1993,1085666,Technology,Semiconductors
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,$189.18,2.11,1.128%,42352905002.00,United States,2019,3180409,Technology,EDP Services
CSCO,Cisco Systems Inc. Common Stock (DE),$53.43,0.99,1.888%,225570001776.00,United States,1990,24142925,Technology,Computer peripheral equipment
CSGP,CoStar Group Inc. Common Stock,$850.67,30.06,3.663%,33595978179.00,United States,1998,250288,Finance,Real Estate
CSX,CSX Corporation Common Stock,$103.13,0.57,0.556%,78110684276.00,United States,,2461042,Transportation,Railroads
CTAS,Cintas Corporation Common Stock,$360.67,10.42,2.975%,37889536562.00,United States,1983,567100,Miscellaneous,Business Services
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$74.815,-0.305,-0.406%,39542138563.00,United States,1998,5373908,Technology,EDP Services
CTXS,Citrix Systems Inc. Common Stock,$121.03,-0.66,-0.542%,15027582838.00,United States,1995,1009555,Technology,Computer Software: Prepackaged Software
CVAC,CureVac N.V. Ordinary Shares,$100.40,6.45,6.865%,18696469526.00,Germany,2020,1507497,Health Care,Major Pharmaceuticals
CZR,Caesars Entertainment Inc. Common Stock,$105.75,3.53,3.453%,22069879382.00,United States,,2948920,Consumer Services,Hotels/Resorts
DDOG,Datadog Inc. Class A Common Stock,$77.29,5.93,8.31%,23831923914.00,United States,2019,6989448,Technology,EDP Services
DISCA,Discovery Inc. Series A Common Stock,$37.56,1.31,3.614%,18979543359.00,United States,,8231387,Consumer Services,Television Services
DISCB,Discovery Inc. Series B Common Stock,$76.28,-1.60,-2.054%,38545249400.00,United States,,5575,Consumer Services,Television Services
DISCK,Discovery Inc. Series C Common Stock,$32.62,0.78,2.45%,16483298839.00,United States,,3603260,Consumer Services,Television Services
DISH,DISH Network Corporation Class A Common Stock,$46.53,0.60,1.306%,24537364060.00,United States,1995,3013723,Consumer Services,Television Services
DKNG,DraftKings Inc. Class A Common Stock,$48.42,-3.47,-6.687%,19256875567.00,United States,2019,45882187,Consumer Services,Services-Misc. Amusement & Recreation
DLTR,Dollar Tree Inc. Common Stock,$116.25,0.55,0.475%,27203617163.00,United States,1995,1211218,Consumer Services,Department/Specialty Retail Stores
DOCU,DocuSign Inc. Common Stock,$195.28,1.66,0.857%,37992918332.00,United States,2018,3283950,Technology,EDP Services
DOX,Amdocs Limited Ordinary Shares,$76.82,-0.13,-0.169%,10049976500.00,Guernsey,,410052,Technology,EDP Services
DXCM,DexCom Inc. Common Stock,$358.74,1.40,0.392%,34692264880.00,United States,2005,712380,Health Care,Medical/Dental Instruments
EA,Electronic Arts Inc. Common Stock,$142.42,1.08,0.764%,40963698765.00,United States,,1603841,Technology,Computer Software: Prepackaged Software
EBAY,eBay Inc. Common Stock,$59.78,0.96,1.632%,40725820600.00,United States,1998,10346789,Consumer Services,Catalog/Specialty Distribution
ENPH,Enphase Energy Inc. Common Stock,$122.96,1.02,0.836%,16685535391.00,United States,2012,3430770,Capital Goods,Electrical Products
ENTG,Entegris Inc. Common Stock,$114.71,3.41,3.064%,15543318792.00,United States,2000,867974,Technology,Semiconductors
EQIX,Equinix Inc. Common Stock REIT,$713.45,14.37,2.056%,63910783936.00,United States,2000,379162,Consumer Services,Real Estate Investment Trusts
ERIC,Ericsson American Depositary Shares,$13.90,0.21,1.534%,46344709117.00,Sweden,,8364070,Technology,Computer Software: Prepackaged Software
ERIE,Erie Indemnity Company Class A Common Stock,$210.33,0.76,0.363%,10998127936.00,United States,,50647,Finance,Specialty Insurers
ETSY,Etsy Inc. Common Stock,$165.51,7.83,4.966%,21035942313.00,United States,2015,5855054,Consumer Services,Catalog/Specialty Distribution
EWBC,East West Bancorp Inc. Common Stock,$78.70,0.29,0.37%,11163010574.00,United States,,608417,Finance,Commercial Banks
EXAS,Exact Sciences Corporation Common Stock,$104.50,-3.51,-3.25%,17902212680.00,United States,2001,1681629,Health Care,Biotechnology: Commercial Physical & Biological Resarch
EXC,Exelon Corporation Common Stock,$44.68,0.20,0.45%,43660189500.00,United States,,4859459,Public Utilities,Power Generation
EXPD,Expeditors International of Washington Inc. Common Stock,$118.67,3.03,2.62%,20018915675.00,United States,,1105880,Transportation,Oil Refining/Marketing
EXPE,Expedia Group Inc. Common Stock,$173.46,8.64,5.242%,25486972334.00,United States,,6284549,Transportation,Other Consumer Services
FANG,Diamondback Energy Inc. Commmon Stock,$84.21,1.96,2.383%,15240472325.00,United States,2012,2094882,Energy,Oil & Gas Production
FAST,Fastenal Company Common Stock,$53.25,0.37,0.70%,30590129563.00,United States,1987,3061017,,
FB,Facebook Inc. Class A Common Stock,$319.08,-0.94,-0.294%,904740119233.00,United States,2012,15912769,Technology,Internet and Information Services
FFIV,F5 Networks Inc. Common Stock,$184.28,2.19,1.203%,11066382560.00,United States,1999,420171,Technology,EDP Services
FISV,Fiserv Inc. Common Stock,$117.65,-0.48,-0.406%,77857167792.00,United States,1986,3840065,Technology,EDP Services
FITB,Fifth Third Bancorp Common Stock,$42.35,0.43,1.026%,30136090600.00,United States,,4830918,Finance,Major Banks
FIVE,Five Below Inc. Common Stock,$196.50,4.14,2.152%,10996761137.00,United States,2012,592815,Consumer Services,Department/Specialty Retail Stores
FIVN,Five9 Inc. Common Stock,$170.14,2.89,1.728%,11406701635.00,United States,2014,622166,Technology,EDP Services
