СТИК.461531.001-01 (эталон) : Блок навигации и посадки ИРК-2-21 : 

"Тип объекта";"Обозначение";"Наименование";"Версия";"Количество";"Ед.изм.";"Тип";"Источник";"Стандартное";"Состояние";"Основная ед.изм.";"Код 1";"Код 2"
"Версия изделия : Деталь";"MMA 0204 C4000FB200";"Резистор";"";"6.00";"Штука";"Деталь";"Покупное";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"CMB 02070X3308JB200";"Резистор";"";"6.00";"Штука";"Деталь";"Покупное";"Да";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"WSR5R1000FEA";"Резистор";"";"2.00";"Штука";"Деталь";"Покупное";"";"В разработке";"Штука";"";""
"Версия изделия : Материал";"МС16-13 0,5 ТУ 16.505.083-78";"Провод";"";"0.30";"Штука";"Материал";"Покупное";"";"В разработке";"Штука";"";""
"Версия изделия : Материал";"МС16-13 0,75 ТУ 16.505.083-78";"Провод";"";"1.00";"Штука";"Материал";"Покупное";"Да";"В разработке";"Штука";"";""
"Версия изделия : Материал";"ПМ-А ,040 ТУ6-19-121-85";"Пленка";"";"1.00";"Штука";"Материал";"Покупное";"Да";"В разработке";"Штука";"";""
"Версия изделия : Сборочная единица";"СТИК.685661.020-01";"Кабель высокочастотный";"";"1.00";"Штука";"Сборочная единица";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.758723.063";"Плата печатная";"";"1.00";"Штука";"Деталь";"Не известно";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"CR1206-JW-102-0,25Bm-1k0m+-5%";"Резистор";"";"5.00";"Штука";"Деталь";"Не известно";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"CR1206-JW-000";"Резистор";"";"3.00";"Штука";"Деталь";"Не известно";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"CR2010-JW-152-0,5Bm-1,5k0m+-5% ф. ""BOURNS""";"Резистор";"";"2.00";"Штука";"Деталь";"Покупное";"";"В разработке";"Штука";"";""
